atividade_economica,faturamento_mensal,numero_de_funcionarios,localizacao,idade,inovacao,segmento_de_cliente
Agronegócio,1681458.49,14,Belo Horizonte,13,8,Gold
Serviços,1509385.85,13,Belo Horizonte,11,0,Silver
Comércio,1533062.06,18,Vitória,5,9,Silver
Comércio,786224.94,9,São Paulo,12,2,Silver
Agronegócio,445571.87,15,São Paulo,13,1,Bronze
Serviços,505124.91,14,Vitória,7,5,Bronze
Indústria,2006688.81,13,São Paulo,13,5,Silver
Agronegócio,416429.3,14,São Paulo,7,1,Starter
Indústria,215580.61,11,Belo Horizonte,7,3,Starter
Serviços,1050776.57,14,Vitória,8,0,Bronze
Comércio,785671.05,15,Vitória,9,2,Bronze
Serviços,658330.45,20,Belo Horizonte,4,8,Bronze
Agronegócio,1643153.26,14,Rio de Janeiro,10,1,Bronze
Serviços,1581841.42,17,Rio de Janeiro,8,2,Silver
Indústria,1291309.57,9,São Paulo,6,9,Bronze
Serviços,2211489.85,10,Belo Horizonte,10,0,Bronze
Agronegócio,1460860.46,12,Rio de Janeiro,5,3,Silver
Indústria,173684.43,13,Belo Horizonte,4,9,Bronze
